"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Marco Buschmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/marco-buschmann"
"Hakan Demir"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hakan-demir"
"Hubertus Heil"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hubertus-heil"
"Marie-Agnes Strack-Zimmermann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/marie-agnes-strack-zimmermann"
"Stephan Brandner"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-brandner"
"Christian Lindner"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-lindner"
"Robert Habeck"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/robert-habeck"
"Rolf Mützenich"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rolf-muetzenich"
"Katrin Göring-Eckardt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katrin-goering-eckardt"
"Volker Wissing"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/volker-wissing"
"Bärbel Bas"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/baerbel-bas"
"Thorsten Frei"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/thorsten-frei"
"Gregor Gysi"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/gregor-gysi"
"Omid Nouripour"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/omid-nouripour"
"Anton Hofreiter"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/anton-hofreiter"
"Johann Saathoff"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johann-saathoff"
"Reinhard Bütikofer"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/reinhard-buetikofer"
"Josip Juratovic"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/josip-juratovic"
"Kirsten Kappert-Gonther"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kirsten-kappert-gonther"
"Delara Burkhardt"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/delara-burkhardt"
"Dietmar Bartsch"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/dietmar-bartsch"
"Carmen Wegge"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/carmen-wegge"
"Dirk Wiese"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-wiese"
"Ulrike Bahr"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ulrike-bahr"
"Cem Özdemir"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/cem-oezdemir"
"Ricarda Lang"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ricarda-lang"
"Roderich Kiesewetter"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/roderich-kiesewetter"
"Sven Lehmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sven-lehmann"
