"Name","Party","Parliament","Profile"
"René Aust"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rene-aust/fragen-antworten?page=0"
"Christian Ehler"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/christian-ehler/fragen-antworten?page=0"
"Alexandra Geese"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/alexandra-geese/fragen-antworten?page=0"
"Sergey Lagodinsky"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sergey-lagodinsky/fragen-antworten?page=0"
"Arno Bausemer"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/arno-bausemer/fragen-antworten?page=0"
"Christian Doleschal"," CSU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/christian-doleschal/fragen-antworten?page=0"
"Niels Geuking"," FAMILIEN-PARTEI","EU-Parlament","https://www.abgeordnetenwatch.de//profile/niels-geuking/fragen-antworten?page=0"
"Michael von der Schulenburg"," BSW","EU-Parlament","https://www.abgeordnetenwatch.de//profile/michael-von-der-schulenburg/fragen-antworten?page=0"
"Marion Walsmann"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/marion-walsmann/fragen-antworten?page=0"
"Christine Anderson"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/christine-anderson/fragen-antworten?page=0"
"Daniel Caspary"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/daniel-caspary/fragen-antworten?page=0"
"Engin Eroglu"," FREIE WÄHLER","EU-Parlament","https://www.abgeordnetenwatch.de//profile/engin-eroglu/fragen-antworten?page=0"
"Damian Boeselager"," Volt","EU-Parlament","https://www.abgeordnetenwatch.de//profile/damian-boeselager/fragen-antworten?page=0"
"Bernd Lange"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/bernd-lange/fragen-antworten?page=0"
"Thomas Geisel"," BSW","EU-Parlament","https://www.abgeordnetenwatch.de//profile/thomas-geisel/fragen-antworten?page=0"
"Katarina Barley"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katarina-barley/fragen-antworten?page=0"
"Hildegard Bentele"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/hildegard-bentele/fragen-antworten?page=0"
"Markus Buchheit"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/markus-buchheit/fragen-antworten?page=0"
"Tomasz Froelich"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/tomasz-froelich/fragen-antworten?page=0"
"Udo Bullmann"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/udo-bullmann/fragen-antworten?page=0"
"Peter Liese"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/peter-liese/fragen-antworten?page=0"
"Christine Schneider"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/christine-schneider/fragen-antworten?page=0"
"Dennis Radtke"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/dennis-radtke/fragen-antworten?page=0"
"Lena Düpont"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lena-duepont/fragen-antworten?page=0"
"Lukas Sieper"," PdF","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lukas-sieper/fragen-antworten?page=0"
"Jens Geier"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jens-geier/fragen-antworten?page=0"
"Anja Arndt"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/anja-arndt/fragen-antworten?page=0"
"Manfred Weber"," CSU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/manfred-weber/fragen-antworten?page=0"
"Katrin Langensiepen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katrin-langensiepen/fragen-antworten?page=0"
"Michael Bloss"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/michael-bloss/fragen-antworten?page=0"
"Sabrina Repp"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sabrina-repp/fragen-antworten?page=0"
"Martin Häusling"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/martin-haeusling/fragen-antworten?page=0"
"Friedrich Pürner"," BSW","EU-Parlament","https://www.abgeordnetenwatch.de//profile/friedrich-puerner/fragen-antworten?page=0"
"Petr Bystron"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/petr-bystron/fragen-antworten?page=0"
"René Repasi"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rene-repasi/fragen-antworten?page=0"
"Rasmus Andresen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rasmus-andresen/fragen-antworten?page=0"
"Martin Schirdewan"," DIE LINKE","EU-Parlament","https://www.abgeordnetenwatch.de//profile/martin-schirdewan/fragen-antworten?page=0"
"Monika Hohlmeier"," CSU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/monika-hohlmeier/fragen-antworten?page=0"
