Name,Party,Parliament,Profile
"1","Marco Buschmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/marco-buschmann/fragen-antworten?page=0"
"2","Hakan Demir"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hakan-demir/fragen-antworten?page=0"
"3","Hubertus Heil"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hubertus-heil/fragen-antworten?page=0"
"4","Marie-Agnes Strack-Zimmermann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/marie-agnes-strack-zimmermann/fragen-antworten?page=0"
"5","Stephan Brandner"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-brandner/fragen-antworten?page=0"
"6","Christian Lindner"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-lindner/fragen-antworten?page=0"
"7","Robert Habeck"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/robert-habeck/fragen-antworten?page=0"
"8","Rolf Mützenich"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rolf-muetzenich/fragen-antworten?page=0"
"9","Katrin Göring-Eckardt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katrin-goering-eckardt/fragen-antworten?page=0"
"10","Volker Wissing"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/volker-wissing/fragen-antworten?page=0"
"11","Bärbel Bas"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/baerbel-bas/fragen-antworten?page=0"
"12","Thorsten Frei"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/thorsten-frei/fragen-antworten?page=0"
"13","Gregor Gysi"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/gregor-gysi/fragen-antworten?page=0"
"14","Omid Nouripour"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/omid-nouripour/fragen-antworten?page=0"
"15","Anton Hofreiter"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/anton-hofreiter/fragen-antworten?page=0"
"16","Johann Saathoff"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johann-saathoff/fragen-antworten?page=0"
"17","Reinhard Bütikofer"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/reinhard-buetikofer/fragen-antworten?page=0"
"18","Josip Juratovic"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/josip-juratovic/fragen-antworten?page=0"
"19","Kirsten Kappert-Gonther"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kirsten-kappert-gonther/fragen-antworten?page=0"
"20","Delara Burkhardt"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/delara-burkhardt/fragen-antworten?page=0"
"21","Dietmar Bartsch"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/dietmar-bartsch/fragen-antworten?page=0"
"22","Carmen Wegge"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/carmen-wegge/fragen-antworten?page=0"
"23","Dirk Wiese"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-wiese/fragen-antworten?page=0"
"24","Ulrike Bahr"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ulrike-bahr/fragen-antworten?page=0"
"25","Cem Özdemir"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/cem-oezdemir/fragen-antworten?page=0"
"26","Ricarda Lang"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ricarda-lang/fragen-antworten?page=0"
"27","Roderich Kiesewetter"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/roderich-kiesewetter/fragen-antworten?page=0"
"28","Sven Lehmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sven-lehmann/fragen-antworten?page=0"
"29","Matthias Gastel"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-gastel/fragen-antworten?page=0"
