"Name","Party","Parliament","Q_A_Link","ID","Q_asked","Q_answered"
"Marco Buschmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/marco-buschmann/fragen-antworten?page=0",118987,1119,1101
"Hakan Demir"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hakan-demir/fragen-antworten?page=0",175431,930,927
"Hubertus Heil"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hubertus-heil/fragen-antworten?page=0",79316,877,825
"Marie-Agnes Strack-Zimmermann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/marie-agnes-strack-zimmermann/fragen-antworten?page=0",137564,0,0
"Stephan Brandner"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-brandner/fragen-antworten?page=0",32337,711,699
"Christian Lindner"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-lindner/fragen-antworten?page=0",119742,1836,641
"Robert Habeck"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/robert-habeck/fragen-antworten?page=0",139064,1224,525
"Rolf Mützenich"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rolf-muetzenich/fragen-antworten?page=0",78838,444,429
"Katrin Göring-Eckardt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katrin-goering-eckardt/fragen-antworten?page=0",78886,383,371
"Volker Wissing"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/volker-wissing/fragen-antworten?page=0",110052,429,367
"Bärbel Bas"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/baerbel-bas/fragen-antworten?page=0",79455,370,360
"Thorsten Frei"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/thorsten-frei/fragen-antworten?page=0",79378,359,359
"Gregor Gysi"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/gregor-gysi/fragen-antworten?page=0",79334,376,354
"Omid Nouripour"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/omid-nouripour/fragen-antworten?page=0",79103,290,289
"Anton Hofreiter"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/anton-hofreiter/fragen-antworten?page=0",79294,311,262
"Johann Saathoff"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johann-saathoff/fragen-antworten?page=0",79032,261,261
"Josip Juratovic"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/josip-juratovic/fragen-antworten?page=0",79266,234,234
"Kirsten Kappert-Gonther"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kirsten-kappert-gonther/fragen-antworten?page=0",73426,232,231
"Dietmar Bartsch"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/dietmar-bartsch/fragen-antworten?page=0",79454,205,205
"Carmen Wegge"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/carmen-wegge/fragen-antworten?page=0",175409,195,193
"Dirk Wiese"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-wiese/fragen-antworten?page=0",78913,190,190
"Ulrike Bahr"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ulrike-bahr/fragen-antworten?page=0",78883,192,190
"Cem Özdemir"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/cem-oezdemir/fragen-antworten?page=0",79102,246,186
"Ricarda Lang"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ricarda-lang/fragen-antworten?page=0",164990,471,171
"Roderich Kiesewetter"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/roderich-kiesewetter/fragen-antworten?page=0",79246,175,167
"Sven Lehmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sven-lehmann/fragen-antworten?page=0",145948,158,153
"Matthias Gastel"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-gastel/fragen-antworten?page=0",79364,149,149
"Filiz Polat"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/filiz-polat/fragen-antworten?page=0",136013,146,146
"Beatrix von Storch"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/beatrix-von-storch/fragen-antworten?page=0",29202,145,144
"Michael Roth"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-roth/fragen-antworten?page=0",79042,147,144
"Konstantin von Notz"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/konstantin-von-notz/fragen-antworten?page=0",78819,140,139
"Lars Castellucci"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lars-castellucci/fragen-antworten?page=0",79416,137,135
"Lars Klingbeil"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lars-klingbeil/fragen-antworten?page=0",79241,155,132
"Lisa Badum"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/lisa-badum/fragen-antworten?page=0",120254,131,130
"Katharina Dröge"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katharina-droege/fragen-antworten?page=0",79403,130,129
"Emilia Fester"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/emilia-fester/fragen-antworten?page=0",173148,155,127
"Konstantin Kuhle"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/konstantin-kuhle/fragen-antworten?page=0",29297,127,127
"Christian Dürr"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-duerr/fragen-antworten?page=0",135929,130,126
"Mahmut Özdemir"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/mahmut-oezdemir/fragen-antworten?page=0",78834,125,125
"Ralf Stegner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ralf-stegner/fragen-antworten?page=0",139062,121,119
"Britta Haßelmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/britta-hasselmann/fragen-antworten?page=0",79325,110,106
"Paul Ziemiak"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/paul-ziemiak/fragen-antworten?page=0",145878,101,101
"Amira Mohamed Ali"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/amira-mohamed-ali/fragen-antworten?page=0",146055,101,99
"Sahra Wagenknecht"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/sahra-wagenknecht/fragen-antworten?page=0",78934,359,98
"Andrew Ullmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/andrew-ullmann/fragen-antworten?page=0",146406,95,95
"Svenja Schulze"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/svenja-schulze/fragen-antworten?page=0",131019,95,93
"Ingrid Nestle"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ingrid-nestle/fragen-antworten?page=0",120104,94,93
"Katrin Helling-Plahr"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/katrin-helling-plahr/fragen-antworten?page=0",121536,90,90
"Julia Klöckner"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/julia-kloeckner/fragen-antworten?page=0",110066,90,89
"Linda Heitmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/linda-heitmann/fragen-antworten?page=0",66491,88,87
"Christoph Hoffmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-hoffmann/fragen-antworten?page=0",146425,89,86
"Jamila Anna Schäfer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/jamila-anna-schaefer/fragen-antworten?page=0",175580,81,81
"Zoe Mayer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/zoe-mayer/fragen-antworten?page=0",175679,81,81
"Bodo Ramelow"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/bodo-ramelow/fragen-antworten?page=0",31607,82,80
"Florian Toncar"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/florian-toncar/fragen-antworten?page=0",118359,97,79
"Bettina Hagedorn"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bettina-hagedorn/fragen-antworten?page=0",79333,79,78
"Dagmar Schmidt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dagmar-schmidt/fragen-antworten?page=0",79036,76,75
"Janosch Dahmen"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/janosch-dahmen/fragen-antworten?page=0",119861,131,72
"Katja Mast"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-mast/fragen-antworten?page=0",79140,72,72
"Sonja Eichwede"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sonja-eichwede/fragen-antworten?page=0",175496,74,72
"Martin Dulig"," SPD","Sachsen","https://www.abgeordnetenwatch.de//profile/martin-dulig/fragen-antworten?page=0",30942,75,71
"Bijan Djir-Sarai"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/bijan-djir-sarai/fragen-antworten?page=0",118195,71,69
"Joe Weingarten"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/joe-weingarten/fragen-antworten?page=0",146835,70,70
"Canan Bayram"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/canan-bayram/fragen-antworten?page=0",117431,69,69
"Takis Mehmet Ali"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/takis-mehmet-ali/fragen-antworten?page=0",175500,69,68
"Heike Baehrens"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/heike-baehrens/fragen-antworten?page=0",79474,68,68
"Michael Theurer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-theurer/fragen-antworten?page=0",28953,67,67
"Matthias Mieves"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-mieves/fragen-antworten?page=0",175471,65,65
"Reem Alabali-Radovan"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/reem-alabali-radovan/fragen-antworten?page=0",175486,72,65
"Ariane Fäscher"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ariane-faescher/fragen-antworten?page=0",176737,65,64
"Ole Thorben Buschhüter"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/ole-thorben-buschhueter/fragen-antworten?page=0",66998,62,62
"Erwin Rüddel"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/erwin-rueddel/fragen-antworten?page=0",79044,61,61
"Dorothee Martin"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dorothee-martin/fragen-antworten?page=0",67018,61,61
"Claudia Raffelhüschen"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/claudia-raffelhueschen/fragen-antworten?page=0",175709,62,60
"Christoph Ploß"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-ploss/fragen-antworten?page=0",66005,60,60
"Paula Piechotta"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/paula-piechotta/fragen-antworten?page=0",31707,59,59
"Johannes Vogel"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-vogel/fragen-antworten?page=0",120155,60,59
"Joana Cotar"," parteilos","Bundestag","https://www.abgeordnetenwatch.de//profile/joana-cotar/fragen-antworten?page=0",150292,61,59
"Sebastian Fiedler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-fiedler/fragen-antworten?page=0",175491,60,59
"Franziska Brantner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/franziska-brantner/fragen-antworten?page=0",79429,59,58
"Michael Kruse"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-kruse/fragen-antworten?page=0",66705,57,57
"Dirk Heidenblut"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-heidenblut/fragen-antworten?page=0",79313,58,58
"Timo Schisanowski"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/timo-schisanowski/fragen-antworten?page=0",175505,56,56
"Helge Lindh"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-lindh/fragen-antworten?page=0",146804,57,56
"Nezahat Baradari"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nezahat-baradari/fragen-antworten?page=0",146817,57,57
"Armand Zorn"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/armand-zorn/fragen-antworten?page=0",175403,59,56
"Stefan Gelbhaar"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-gelbhaar/fragen-antworten?page=0",117547,61,56
"Christoph de Vries"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-de-vries/fragen-antworten?page=0",66002,55,55
"Rita Schwarzelühr-Sutter"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rita-schwarzeluehr-sutter/fragen-antworten?page=0",79001,56,55
"Stephan Thomae"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-thomae/fragen-antworten?page=0",119361,55,55
"Nese Erikli"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nese-erikli/fragen-antworten?page=0",108801,54,54
"Daniela Ludwig"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/daniela-ludwig/fragen-antworten?page=0",79146,54,54
"Katharina Beck"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katharina-beck/fragen-antworten?page=0",175596,58,54
"Detlef Müller"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/detlef-mueller/fragen-antworten?page=0",79483,53,53
"Chantal Kopf"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/chantal-kopf/fragen-antworten?page=0",175543,54,53
"Bengt Bergt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bengt-bergt/fragen-antworten?page=0",175405,53,53
"Petra Pau"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/petra-pau/fragen-antworten?page=0",79091,56,52
"Falko Droßmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/falko-drossmann/fragen-antworten?page=0",175424,53,52
"Ronja Kemmer"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ronja-kemmer/fragen-antworten?page=0",79480,51,51
"Nina Scheer"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nina-scheer/fragen-antworten?page=0",79023,52,51
"Olaf in der Beek"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/olaf-in-der-beek/fragen-antworten?page=0",146348,50,50
"Zaklin Nastić"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/zaklin-nastic/fragen-antworten?page=0",66565,51,50
"Rosa Domm"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/rosa-domm/fragen-antworten?page=0",173147,49,49
"Ates Gürpinar"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/ates-guerpinar/fragen-antworten?page=0",141210,49,49
"Bernhard Herrmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/bernhard-herrmann/fragen-antworten?page=0",175541,49,49
"Roger Beckamp"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/roger-beckamp/fragen-antworten?page=0",130094,54,49
"Kerstin Griese"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/kerstin-griese/fragen-antworten?page=0",79349,49,49
"Alexander Dobrindt"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/alexander-dobrindt/fragen-antworten?page=0",79412,67,48
"Renate Künast"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/renate-kuenast/fragen-antworten?page=0",79217,48,48
"Beate Walter-Rosenheimer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/beate-walter-rosenheimer/fragen-antworten?page=0",78936,47,47
"Daniel Baldy"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/daniel-baldy/fragen-antworten?page=0",175416,48,47
"Matthias Miersch"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-miersch/fragen-antworten?page=0",79133,46,46
"Anke Rehlinger"," SPD","Saarland","https://www.abgeordnetenwatch.de//profile/anke-rehlinger/fragen-antworten?page=0",138121,49,46
"Reinhard Houben"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/reinhard-houben/fragen-antworten?page=0",146326,47,46
"Marcel Emmerich"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/marcel-emmerich/fragen-antworten?page=0",146042,46,46
"Metin Hakverdi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/metin-hakverdi/fragen-antworten?page=0",79327,47,46
"Aydan Özoğuz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/aydan-oezoguz/fragen-antworten?page=0",79097,46,45
"Tino Sorge"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/tino-sorge/fragen-antworten?page=0",78992,46,45
"Andrea Lindholz"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/andrea-lindholz/fragen-antworten?page=0",79192,45,45
"Linda Teuteberg"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/linda-teuteberg/fragen-antworten?page=0",132971,46,45
"Adis Ahmetovic"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/adis-ahmetovic/fragen-antworten?page=0",175389,47,46
"Julia Verlinden"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/julia-verlinden/fragen-antworten?page=0",78944,45,44
"Tessa Ganserer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tessa-ganserer/fragen-antworten?page=0",133673,54,44
"Stefan Seidler"," SSW","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-seidler/fragen-antworten?page=0",176316,45,45
"Stephan Pilsinger"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-pilsinger/fragen-antworten?page=0",145901,49,44
"Frauke Heiligenstadt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt/fragen-antworten?page=0",136025,44,43
"Sören Pellmann"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/soeren-pellmann/fragen-antworten?page=0",146117,43,43
"Christian Piwarz"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/christian-piwarz/fragen-antworten?page=0",30884,45,43
"Helge Braun"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-braun/fragen-antworten?page=0",79432,85,42
"Tobias B. Bacherle"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-b-bacherle/fragen-antworten?page=0",146028,42,42
"Nyke Slawik"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/nyke-slawik/fragen-antworten?page=0",164992,42,42
"Sabine Friedel"," SPD","Sachsen","https://www.abgeordnetenwatch.de//profile/sabine-friedel/fragen-antworten?page=0",30870,43,42
"Verena Hubertz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/verena-hubertz/fragen-antworten?page=0",175512,42,42
"Frank Schäffler"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/frank-schaeffler/fragen-antworten?page=0",118538,47,42
"Svenja Stadler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/svenja-stadler/fragen-antworten?page=0",78996,41,41
"Kathrin Vogler"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/kathrin-vogler/fragen-antworten?page=0",78948,41,41
"Udo Schiefner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/udo-schiefner/fragen-antworten?page=0",79027,43,43
"Bärbel Kofler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/baerbel-kofler/fragen-antworten?page=0",79234,40,40
"Katja Hessel"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-hessel/fragen-antworten?page=0",134052,41,40
"Eva Botzenhart"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/eva-botzenhart/fragen-antworten?page=0",133560,40,40
"Johannes Arlt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-arlt/fragen-antworten?page=0",175447,40,40
"Jan Dieren"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-dieren/fragen-antworten?page=0",175438,40,39
"Tanja Machalet"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/tanja-machalet/fragen-antworten?page=0",110102,40,39
